WThk,FL,MeshSize_XY,MaxEPS
0.378676,1.066887,1.55,3.7783553e-06
0.224898,0.639111,1.55,1.3366707e-06
0.154801,0.985549,1.55,2.459159e-06
0.400021,0.708187,1.55,1.9015293e-06
0.476147,0.873103,1.55,5.1957556e-06
0.127417,0.822009,1.55,1.6073106e-06
0.25232,1.174557,1.55,4.2305731e-06
0.302493,0.530083,1.55,1.6746992e-06
0.343454,0.966628,1.55,2.2852731e-06
0.284105,0.738132,1.55,1.582318e-06
0.116534,1.080756,1.55,1.9403757e-06
0.462277,0.61439,1.55,3.5142138e-06
0.440932,1.149461,1.55,4.5347711e-06
0.186631,0.544327,1.55,1.7544338e-06
0.214059,0.902717,1.55,2.9973952e-06
0.364755,0.803419,1.55,1.2491834e-06
0.347514,0.935494,1.55,3.7721087e-06
0.205781,0.770593,1.55,2.1773404e-06
0.184436,1.116678,1.55,
0.417611,0.577147,1.55,9.9873914e-07
0.445037,1.091729,1.55,4.8367509e-06
0.108255,0.603466,1.55,8.0484662e-07
0.28191,0.955661,1.55,3.8648481e-06
0.320133,0.749062,1.55,1.2084415e-06
0.312295,1.185502,1.55,6.8882225e-06
0.264991,0.519175,1.55,2.3432708e-06
0.146168,0.862152,1.55,1.9517406e-06
0.479866,0.832912,1.55,4.950946e-06
0.409823,1.018354,1.55,2.2991463e-06
0.167471,0.675346,1.55,1.773359e-06
0.243649,1.034088,1.55,2.4999711e-06
0.382394,0.671959,1.55,
0.389245,0.992318,1.55,2.0899483e-06
0.238312,0.701635,1.55,1.7119512e-06
0.162135,1.054556,1.55,3.2656761e-06
0.416674,0.651744,1.55,
0.486726,1.164959,1.55,5.8758847e-06
0.14084,0.539977,1.55,1.2961615e-06
0.259663,0.888071,1.55,4.0831567e-06
0.319154,0.807252,1.55,2.0960178e-06
0.326991,1.074161,1.55,4.9072398e-06
0.27658,0.621116,1.55,1.1294402e-06
0.102925,0.979132,1.55,1.4961889e-06
0.451894,0.725673,1.55,3.4475007e-06
0.424465,0.912482,1.55,3.1317386e-06
0.179103,0.793693,1.55,1.9153097e-06
0.200448,1.134662,1.55,3.5055019e-06
0.354369,0.559252,1.55,9.3846981e-07
0.357898,1.123711,1.55,4.7108484e-06
0.21939,0.570154,1.55,1.7689511e-06
0.191962,0.923428,1.55,3.7603697e-06
0.434075,0.782784,1.55,2.5737168e-06
0.455423,0.946333,1.55,3.139304e-06
0.121868,0.758521,1.55,1.5148404e-06
0.28944,1.106966,1.55,4.6278983e-06
0.3366,0.588274,1.55,1.2272118e-06
0.295641,0.855287,1.55,3.7474801e-06
0.257657,0.840073,1.55,1.9514835e-06
0.132753,1.197736,1.55,2.8852188e-06
0.469296,0.507151,1.55,2.2567438e-06
0.393161,1.04359,1.55,3.2648305e-06
0.160128,0.662674,1.55,1.4029479e-06
0.230225,1.003291,1.55,3.4410332e-06
0.371815,0.690711,1.55,1.7166332e-06
0.368817,0.889854,1.55,2.9834534e-06
0.233129,0.814823,1.55,1.7894288e-06
0.156939,1.157106,1.55,3.3118166e-06
0.396256,0.537958,1.55,1.1854553e-06
0.466297,1.051493,1.55,4.8766241e-06
0.135658,0.642206,1.55,1.0326807e-06
0.254467,1.001622,1.55,2.8608253e-06
0.298736,0.704425,1.55,2.2138775e-06
0.333601,1.143664,1.55,5.3205103e-06
0.292343,0.562423,1.55,4.0821464e-07
0.118678,0.909203,1.55,1.725993e-06
0.458518,0.784622,1.55,3.2104198e-06
0.431075,0.971068,1.55,3.3990235e-06
0.194866,0.724126,1.55,1.472691e-06
0.2162,1.075648,1.55,3.9195222e-06
0.360992,0.629074,1.55,1.240394e-06
0.351178,1.108469,1.55,
0.203542,0.596291,1.55,2.1432548e-06
0.176103,0.938243,1.55,3.3489551e-06
0.427369,0.756904,1.55,2.9088333e-06
0.448704,0.920132,1.55,4.0582707e-06
0.10602,0.773655,1.55,1.2139031e-06
0.273581,1.13274,1.55,4.8325432e-06
0.329894,0.573395,1.55,5.5721495e-07
0.315965,1.012525,1.55,3.3739381e-06
0.262758,0.693474,1.55,
0.137841,1.040585,1.55,2.621755e-06
0.48963,0.653152,1.55,5.8205155e-06
0.413484,1.189953,1.55,5.8235613e-06
0.165229,0.505159,1.55,1.8072207e-06
0.235313,0.857012,1.55,3.4265394e-06
0.392149,0.847628,1.55,3.3318619e-06
0.385298,1.172129,1.55,4.0408375e-06
0.240649,0.523232,1.55,2.447458e-06
0.170566,0.880223,1.55,2.3775737e-06
0.406633,0.824665,1.55,1.7858499e-06
0.48277,0.98926,1.55,4.5526363e-06
0.143168,0.717002,1.55,1.3571658e-06
0.268085,1.058313,1.55,4.7067482e-06
0.309105,0.635687,1.55,2.0040896e-06
0.323038,0.894348,1.55,3.0713949e-06
0.278911,0.799517,1.55,2.925662e-06
0.111351,1.153463,1.55,1.8207964e-06
0.441847,0.552749,1.55,1.8812075e-06
0.420515,1.088183,1.55,2.7697797e-06
0.181437,0.61667,1.55,1.1378618e-06
0.208876,0.964421,1.55,3.4548489e-06
0.344325,0.730818,1.55,1.3201413e-06
0.367849,0.953514,1.55,3.7056811e-06
0.21087,0.741764,1.55,1.7346581e-06
0.189535,1.099086,1.55,
0.437933,0.605719,1.55,2.4355527e-06
0.465372,1.120621,1.55,6.0751816e-06
0.113345,0.585554,1.55,9.9883724e-07
0.28701,0.927196,1.55,4.5607935e-06
0.340455,0.766717,1.55,1.2388587e-06
0.305587,1.025488,1.55,5.8973668e-06
0.249131,0.668466,1.55,
0.130321,1.022081,1.55,2.4115602e-06
0.473148,0.68422,1.55,4.0539917e-06
0.403115,0.869298,1.55,3.245976e-06
0.151611,0.835637,1.55,2.3577507e-06
0.227802,1.183058,1.55,3.7271019e-06
0.375676,0.512265,1.55,
